id,title,artist,active,comment,tabs,lyrics,chords,capo,bypassRequestLimits,minAmount,attributes
4174925,Осень,ДДТ,true,,,,,,false,0,РОК
4285656,Просвистела,ДДТ,false,,,,,,false,0,РОК
4203645,В лесу родилась ёлочка,Детские песни,false,,,,,,false,0,Новогодние
4208693,Зимняя сказка,Детские песни,false,"Ирина Богушевская, Андрей Усачев, Александр Пинегин",,,,,false,0,"Колыбельные,Новогодние"
4203648,Маленькой ёлочке холодно зимой,Детские песни,false,,,,,,false,0,Новогодние
4208687,Новый год у ворот,Детские песни,false,,,,,,false,0,Новогодние
4190543,Спят усталые игрушки,Детские песни,false,,,,,,false,0,"Колыбельные,Из мультфильмов"
4208689,Новогодняя,"Детский хор ""Великан"" и Иванушки Int.",false,,,,,,false,0,Новогодние
4208692,Новогодняя,Дискотека Авария,false,,,,,,false,0,"ПОП,Потанцевать,Новогодние"
4501689,Лебединая верность,Евгений Мартынов,false,,,,,,false,0,"Лирические,A cappella"
4192374,Плачет девушка в автомате,Евгений Осин,false,,,,,,false,0,ПОП
4174911,Желаю,Елена Ваенга,true,,,,,,false,0,
4174910,Курю,Елена Ваенга,true,,,,,,false,0,
4174912,Шопен,Елена Ваенга,true,,,,,,false,0,Лирические
4174906,Что мы наделали,Елена Ваенга и Михаил Бублик,true,,,,,,false,0,
4761429,"Маленький принц ","Елена Камбурова ",true,,,,,,false,0,"Ретро,Лирические,Из кинофильмов"
4174938,Все женщины любят мужчин,Елена Кукарская,true,,,,,,false,0,"ПОП,Потанцевать"
4174940,Давай-давай,Елена Кукарская,true,,,,,,false,0,"ПОП,Потанцевать"
4174941,По маленькой,Елена Кукарская,true,,,,,,false,0,"ПОП,Потанцевать"
4174929,На большом воздушном шаре,Ёлка,true,,,,,,false,0,ПОП
4174930,На малютке планете,Ёлка,true,,,,,,false,0,ПОП
4890653,Не брошу на полпути,Ёлка,true,,,,,,false,0,"ПОП,Лирические"
4200021,Около тебя,Ёлка,true,,,,,,false,0,"ПОП,Лирические"
4174931,Прованс,Ёлка,true,,,,,,false,0,ПОП
4828266,Скучаю,Ёлка,true,,,,,,false,0,"ПОП,Лирические"
4208697,А снег идёт,Жанна Агузарова,true,,,,,,false,0,"Ретро,Из кинофильмов,Новогодние"
5433151,Жёлтые ботинки,Жанна Агузарова / Браво,true,,,,,,false,0,"Ретро,Потанцевать"
4209286,Старый отель,Жанна Агузарова / Браво,true,,,,,,false,0,"Ретро,ПОП,Лирические"
4174895,Чёрный кот,Жанна Агузарова / Браво,true,,,,,,false,0,"Ретро,ПОП"
4174965,Колыбельная тишины,Женя Любич,true,,,,,,false,0,"Из кинофильмов,Лирические,Колыбельные"
4174932,Батарейка (рок версия),Жуки,true,,,,,,false,0,РОК
4174933,Мир вашему дому,Зара,true,,,,,,false,0,ПОП
4484041,Это просто война,Зара,false,,,,,,false,0,
4332028,Говори,Звери,true,,,,,,false,0,Лирические
4300723,До скорой встречи,Звери,true,,,,,,false,0,
4174935,Районы-кварталы,Звери,true,,,,,,false,0,РОК
4174958,Трава у дома (рок версия),Земляне,true,,,,,,false,0,"Ретро,РОК,Из кинофильмов"
4230245,Жить в твоей голове,Земфира,true,,,,,,false,0,Лирические
4896107,Искала,Земфира,true,,,,,,false,0,РОК
4200022,Небо Лондона,Земфира,true,,,,,,false,0,"РОК,Лирические"
4221956,"ПММЛ (Прости меня, моя любовь)",Земфира,true,,,,,,false,0,Лирические
4174936,Хочешь?,Земфира,true,,,,,,false,0,РОК
4932551,Амулет,Зоя Ященко и Белая Гвардия,true,,,,,,false,0,Лирические
4584846,Питер,Зоя Ященко и Белая Гвардия,true,,,,,,false,0,Лирические
4192371,Тополиный пух,Иванушки Int.,true,,,,,,false,0,ПОП
4174943,Город которого нет,Игорь Корнелюк,true,,,,,,false,0,"Лирические,Из кинофильмов"
4263854,Nea Costică,Игорь Кучук,true,,,,,,false,0,"На других языках,Молдавские"
4175029,Комарово,Игорь Скляр,true,,,,,,false,0,"Ретро,ПОП"
4263841,"Eu numai, numai ",Ионел Истрати,true,,,,,,false,0,"На других языках,Молдавские"
4471850,Бабы-стервы,Ирина Аллегрова,true,,,,,,false,0,ПОП
4174897,Младший лейтенант,Ирина Аллегрова,true,,,,,,false,0,ПОП
4174968,С днём рождения,Ирина Аллегрова,true,,,,,,false,0,ПОП
5089497,Угонщица,Ирина Аллегрова,true,,,,,,false,0,ПОП
4174945,Букет из белых роз,Ирина Круг и Виктор Королёв,true,,,,,,false,0,
4452244,"Позвони мне, позвони","Ирина Муравьёва ",true,,,,,,false,0,Из кинофильмов
4249054,Улетай на крыльях ветра,Калевала,false,,,,,,false,0,РОК
4175014,Если бы не ты,Катя Бужинская и Сергей Пискун,false,,,,,,false,0,"ПОП,Потанцевать"
4307017,Группа крови,КИНО,true,,,,,,false,0,РОК
4249059,Перемен,КИНО,true,,,,,,false,0,"Из кинофильмов,РОК"
4174937,Я свободен,Кипелов,true,,,,,,false,0,РОК
5195081,Синий платочек,Клавдия Шульженко,false,,,,,,false,0,
5298037,Ведьма и осёл,Король и Шут,true,,,,,,false,0,РОК
4266796,Девушка и Граф,Король и Шут,true,,,,,,false,0,"РОК,Лирические"
4174946,Дурак и молния,Король и Шут,true,,,,,,false,0,РОК
4174948,Кукла колдуна,Король и Шут,true,,,,,,false,0,РОК
4174949,Лесник,Король и Шут,true,,,,,,false,0,РОК
4212543,Прыгну со скалы,Король и Шут,true,,,,,,false,0,РОК
4212544,Танец злобного гения,Король и Шут,true,,,,,,false,0,РОК
4300722,Губки бантиком,Кристина Орбакайте,true,,,,,,false,0,ПОП
